Indicateur,valeur_2005,valeur_2010,valeur_2019
PIB,4804,6970,9236
taux_PIB,1.7,2.1,5
PIB_par_habitant,601.8,757.7,826.5
pourcentage_va_agriculture,27.1,25.4,27
pourcentage_va_industrie,30.3,24.7,25.7
services_et_autres,42.5,49.9,47.3
taux_emploi_agriculture,47.5,45.3,41.5
taux_emploi_industrie,11.9,10.5,18.7
taux_emploi_services,40.6,44.2,39.8
taux_chomage,0.9,1,2.3
population_active_femmes,67.3,69.2,69.3 
population_active_hommes,76.6,73.0,73.3
IPC,84,100,110
indice_production_agricole,104,118,153
indice_production_industrielle,100,129,148
commerce_international_export,288,534,287
commerce_international_import,899,2134,3132
commerce_international_balance,-611,-1600,-2845
balance_paiements,-226,-530,-927
