Indicateur,valeur_2005,valeur_2010,valeur_2019
PIB,5463,8980,12325
taux_PIB,8.7,8.4,6.3
PIB_par_habitant,407,575.4,642.1
pourcentage_va_agriculture,38.5,35.2,31.3
pourcentage_va_industrie,17.7,22.7,20.2
services_et_autres,43.8,42,48.4
taux_emploi_agriculture,82,60.9,27
taux_emploi_industrie,5.1,11.4,31.9
taux_emploi_services,12.9,27.7,41.1
taux_chomage,4,4.6,6.2
population_active_femmes,62.4,59.7,58.3
population_active_hommes,86.8,81.7,75.0
IPC,87,100,110
indice_production_agricole,104,118,125
commerce_international_export,332,1288,2527
commerce_international_import,1161,2048,4562
commerce_international_balance,-828,-760,-2035
balance_paiements,-634,-181,-894
