Indicateur,valeur_2005,valeur_2010,valeur_2019
PIB,1105,1664,1773
taux_PIB,6.5,1.5,4
PIB_par_habitant,2329.3,3312.8,3244.7
pourcentage_va_agriculture,11.7,9.2,7
pourcentage_va_industrie,22.8,20.8,21.1
services_et_autres,65.5,70.1,71.9
taux_emploi_agriculture,73.2,69.7,66.8
taux_emploi_industrie,6.8,7.3,6.9
taux_emploi_services,20,23,26.3
taux_chomage,11.2,10.7,10.4
population_active_femmes,54.3,58.7,65.5
population_active_hommes,75.0,74.4,73.2
IPC,83,100,109
indice_production_agricole,99,106,97
commerce_international_export,89,220,51
commerce_international_import,438,731,930
commerce_international_balance,-349,-511,-880
balance_paiements,-41,-223,-104
