Indicateur,valeur_2005,valeur_2010,valeur_2019
PIB,17085,24885,38055
taux_PIB,1.7,2,7.7
PIB_par_habitant,931.8,1219.7,1566.4
pourcentage_va_agriculture,24.3,26,23.7
pourcentage_va_industrie,24.5,23.8,27.1
services_et_autres,51.3,50.2,49.2
taux_emploi_agriculture,50.6,49.5,46.5
taux_emploi_industrie,6.1,5.9,6.3
taux_emploi_services,43.3,44.6,47.2
taux_chomage,3.5,3.1,2.6
population_active_femmes,48.3,48.2,48.3
population_active_hommes,76.9,72.3,65.9
IPC,88,100,113
indice_production_agricole,100,107,127
indice_production_industrielle,100,103,140
commerce_international_export,7248,10284,11923
commerce_international_import,5865,7849,10999
commerce_international_balance,1383,2434,925
balance_paiements,40,465,-1047
