Indicateur,valeur_2005,valeur_2010,valeur_2019
PIB,944,1441,1489
taux_PIB,-0.9,6.5,4.6
PIB_par_habitant,653.7,851.3,709.1
pourcentage_va_agriculture,32.3,35.1,24.9
pourcentage_va_industrie,12.4,10.4,14
services_et_autres,55.3,54.4,61.1
taux_emploi_agriculture,34.2,32.8,26.6
taux_emploi_industrie,16.2,14.7,15.5
taux_emploi_services,49.6,52.5,57.9
taux_chomage,9.4,9.4,9.4
population_active_femmes,48.5,50.3,51.8 
population_active_hommes,68.8,68.7,67.7
IPC,81,100,161
indice_production_agricole,94,133,106
commerce_international_export,7,68,27
commerce_international_import,260,284,531
commerce_international_balance,-252,-215,-504
balance_paiements,-43,17,-111
