Indicateur,valeur_2005,valeur_2010,valeur_2019
PIB,22765,42587,58996
taux_PIB,6.2,7.9,8.1
PIB_par_habitant,1056.8,1737.4,2046.1
pourcentage_va_agriculture,29.1,28.9,21.2
pourcentage_va_industrie,33.2,28.2,33.2
services_et_autres,37.7,43,45.6
taux_emploi_agriculture,49,42,38.3
taux_emploi_industrie,15.8,15.2,14.3
taux_emploi_services,35.2,42.8,47.3
taux_chomage,4.7,5.3,2.5
population_active_femmes,69.4,66.5,63.5
population_active_hommes,74.0,72.5,71.5
IPC,53,100,255
indice_production_agricole,100,127,153
commerce_international_export,3060,5233,17100
commerce_international_import,4878,8057,11880
commerce_international_balance,-1819,-2824,5219
balance_paiements,-1105,-2747,-2003
