Indicateur,valeur_2005,valeur_2010,valeur_2019
PIB,4063,6853,10208
taux_PIB,3,4.8,8.2
PIB_par_habitant,419.8,634.9,802.7
pourcentage_va_agriculture,14.9,18.6,17.9
pourcentage_va_industrie,34.9,34.3,36.2
services_et_autres,50.3,47.1,45.9
taux_emploi_agriculture,70.1,70.2,67.7
taux_emploi_industrie,5.8,6,6
taux_emploi_services,24,23.8,26.2
taux_chomage,4.6,4.6,4.5
population_active_femmes,62.9,63.2,64.1
population_active_hommes,67.4,66.7,65.1
IPC,42,100,240
indice_production_agricole,100,120,135
commerce_international_export,796,1471,2152
commerce_international_import,1648,1405,2049,
commerce_international_balance,-852,66,103
balance_paiements,-160,-327,519
