Indicateur,valeur_2005,valeur_2010,valeur_2019
PIB,587,849,1347
taux_PIB,4.3,4.6,5.9
PIB_par_habitant,425,545.7,723.6
pourcentage_va_agriculture,45.4,46.2,52.1
pourcentage_va_industrie,14.7,13.5,13.3
services_et_autres,39.9,40.3,34.6
taux_emploi_agriculture,84.6,84.5,83.2
taux_emploi_industrie,6.9,6.6,6.9
taux_emploi_services,8.4,9,9.9
taux_chomage,6.4,6.3,6
population_active_femmes,65.2,66.1,67.5
population_active_hommes,79.5,78.7,78.9
IPC,84,100,112
indice_production_agricole,100,128,143
commerce_international_export,23,120,2310
commerce_international_import,112,197,196
commerce_international_balance,-88,-77,2114
balance_paiements,-10,-71,4
