Indicateur,valeur_2005,valeur_2010,valeur_2019
PIB,706,1292,2763
taux_PIB,5.3,7.3,2.5
PIB_par_habitant,216.6,327.2,583.8
pourcentage_va_agriculture,68.8,70.2,72.7
pourcentage_va_industrie,9.8,11.9,8.7
services_et_autres,21.5,17.9,18.6
taux_emploi_agriculture,53,47.3,41.6
taux_emploi_industrie,9.3,10.8,12
taux_emploi_services,37.7,41.9,46.4
taux_chomage,5.6,2.3,2.4
population_active_femmes,53.1,53.6,54.7
population_active_hommes,59.1,59.3,57.4
IPC,62,100,181
indice_production_agricole,102,104,113
commerce_international_export,130,222,519
commerce_international_import,309,710,292
commerce_international_balance,-179,-488,227
balance_paiements,-184,-853,-566
