Indicateur,valeur_2005,valeur_2010,valeur_2019
PIB,6245,10679,15236
taux_PIB,10.4,10.9,6.9
PIB_par_habitant,487.9,708.4,821.7
pourcentage_va_agriculture,34.4,34.9,40.7
pourcentage_va_industrie,25.9,25.3,18.5
services_et_autres,39.6,39.7,40.8
taux_emploi_agriculture,44.8,57.4,56.1
taux_emploi_industrie,15.1,11.1,8.6
taux_emploi_services,40.1,31.5,35.4
taux_chomage,9.5,8.1,8.1
population_active_femmes,60.6,60.5,61.3
population_active_hommes,81.0,82.0,80.9
IPC,86,100,110
indice_production_agricole,102,126,171
indice_production_industrielle,1075,1996,1269
commerce_international_export,1544,4704,5622
commerce_international_balance,-468,-2707,-4353
balance_paiements,-438,-1190,-1210
