Indicateur,valeur_2005,valeur_2010,valeur_2019
PIB,3369,5719,8120
taux_PIB,7.4,8.4,4.9
PIB_par_habitant,247.4,348.2,378.1
pourcentage_va_agriculture,45.5,43.8,41.9
pourcentage_va_industrie,11.8,16.7,16.8
services_et_autres,42.7,39.4,41.3
taux_emploi_agriculture,77.6,77.8,74.8
taux_emploi_industrie,6.9,7.2,7.7
taux_emploi_services,15.5,15.1,17.4
taux_chomage,3.1,0.9,0.4
population_active_femmes,68.2,67.8,67.2
population_active_hommes,91.0,91.1,90.4
IPC,89,100,104
indice_production_agricole,102,146,173
indice_production_industrielle,486,479,342
commerce_international_export,736,2273,1314
commerce_international_balance,-250,-1794,-972
balance_paiements,-312,-1136,-1271
