Indicateur,valeur_2005,valeur_2010,valeur_2019
PIB,180502,369062,375770
taux_PIB,6.5,7.8,0.8
PIB_par_habitant,1299.1,2327.3,1968.6
pourcentage_va_agriculture,25.6,23.9,21.1
pourcentage_va_industrie,23.7,25.3,22.6
services_et_autres,50.7,50.8,56.4
taux_emploi_agriculture,51.2,30.6,36.1
taux_emploi_industrie,8.5,14.2,11.8
taux_emploi_services,40.4,55.3,52.2
taux_chomage,4.3,3.9,7
population_active_femmes,47.8,49.2,50.6
population_active_hommes,61.7,60.7,59.7
IPC,62,100,240
indice_production_agricole,100,105,119
indice_production_industrielle,55144,86568,67934
commerce_international_export,21314,44235,32071
commerce_international_balance,33831,42333,35863
balance_paiements,36529,13111,10381
