Indicateur,valeur_2005,valeur_2010,valeur_2019
PIB,11267,16725,21126
taux_PIB,5.6,4.2,6.7
PIB_par_habitant,1001.4,1294.9,1332.8
pourcentage_va_agriculture,16,16.6,16.5
pourcentage_va_industrie,26.3,25.6,25.6
services_et_autres,57.7,57.8,57.9
taux_emploi_agriculture,40.6,53.3,52.1
taux_emploi_industrie,17.4,19.6,20.4
taux_emploi_services,42,27,27.5
taux_chomage,9,10.2,4.8
population_active_femmes,33.8,34.3,35.3
population_active_hommes,69.5,64.7,58.5
IPC,87.10,100,109
indice_production_agricole,110,151,145
indice_production_industrielle,100,104,102
commerce_international_export,1471,2088,3419
commerce_international_import,3498,4782,8011
commerce_international_balance,-2027,-2694,-4592
balance_paiements,-676,-589,-1522
