Indicateur,valeur_2005,valeur_2010,valeur_2019
PIB,1650,2578,3740
taux_PIB,4.5,5.3,3.8
PIB_par_habitant,291.7,399.2,494.8
pourcentage_va_agriculture,51,55.2,61.6
pourcentage_va_industrie,11.6,8.1,5.3
services_et_autres,37.4,36.7,33.1
taux_emploi_agriculture,6.1,6.4,6.3
taux_emploi_industrie,65.9,63.7,59
taux_emploi_services,28,29.8,34.7
taux_chomage,3.6,4.3,4.2
population_active_femmes,64.4,60.5,57.6
population_active_hommes,65.7,61.9,58.3
IPC,64.35,100,205
indice_production_agricole,94,147,195
commerce_international_export,154,319,20
commerce_international_import,341,776,985
commerce_international_balance,-187,-457,-965
balance_paiements,-105,-585,-535
