Indicateur,valeur_2005,valeur_2010,valeur_2019
PIB,2281,3426,4786
taux_PIB,-4.7,6.1,4.4
PIB_par_habitant,401.3,526.8,613.8
pourcentage_va_agriculture,34,33.8,28.4
pourcentage_va_industrie,16.5,16,18.6
services_et_autres,49.5,50.3,53
taux_emploi_agriculture,42.5,38.4,36
taux_emploi_industrie,17.9,18.3,17.3
taux_emploi_services,39.6,43.4,46.7
taux_chomage,1.9,1.9,1.8
population_active_femmes,80.5,77.0,75.8
population_active_hommes,80.7,80.3,79.3
IPC,78,100,110
indice_production_agricole,97,123,142
indice_production_industrielle,100,124,156
commerce_international_export,360,648,877
commerce_international_import,593,1205,2091
commerce_international_balance,-233,-557,-1214
balance_paiements,-204,-200,-96
